mean_rojo;sd_rojo;mean_verde;sd_verde;mean_azul;sd_azul;aspect_ratio;extent;clase
24,03;49,78;92,27;8,25;14,76;21,68;0,19;0,46;nada
93,84;122,39;179,69;6,55;6,19;8,73;5,52;0,77;nada
58,16;78,11;96,22;1,94;1,62;2,02;0,85;0,88;nada
87,03;200,04;212,19;82,7;39,69;36,13;0,73;0,96;energia
93,09;123,83;128,74;78,84;80,24;79,15;0,64;0,9;garantia
82,6;100,49;124,19;4,82;4,68;5,19;1,05;0,85;nada
84,13;104,25;129,8;5,15;4,65;5,14;3,25;0,84;nada
84,81;117,98;176,44;8,8;8,51;10,59;4,64;0,75;nada
58,2;77,93;95,12;2,36;2,24;2,38;0,5;0,74;nada
86,2;198,95;211,43;82,38;38,99;35,34;0,74;0,95;energia
93,38;122,86;128,42;78,46;79,85;78,68;0,64;0,9;garantia
45,29;78,48;78,11;14,12;10,98;13,53;0,68;0,81;nada
72,58;104,98;107,11;8,51;5,64;5,85;1,09;0,76;nada
56,76;81,81;91,9;8,65;8,61;8,94;1;0,78;nada
57,14;82,46;90,87;8,66;7,83;8,38;0,92;0,88;nada
57,38;81,57;94,36;10,15;9,6;9,75;0,36;0,45;nada
38,37;59,65;77,92;6,55;6,6;7,9;0,77;0,9;nada
54,36;77,21;93,91;14,71;14,38;14,89;0,85;0,4;nada
63,12;87,32;109,06;20,68;21,74;22,54;0,87;0,74;nada
183,55;214,95;224,35;22,62;25,05;25,82;0,09;0,67;nada
136,38;161,24;184,79;37,93;43,55;32,9;1,01;0,59;nada
78,79;97,98;135,11;13,44;13,72;16,89;0,75;0,73;nada
74,38;102,43;137,84;12,07;13,61;15,41;0,64;0,73;nada
96,01;115,61;161,82;12,96;21,17;15,25;0,42;0,71;nada
101,82;122,33;158,54;4,82;5,9;6,48;0,96;0,66;nada
96,74;110,89;148,95;14,39;15,27;13,87;1,03;0,62;nada
105,59;120,63;152,91;5,05;5,09;5,02;1;0,87;nada
106,63;125,59;201,26;30,14;35,91;31,81;0,41;0,52;nada
74,13;85,77;154,81;24,8;29,78;24,14;0,26;0,59;nada
77,52;139,03;129,5;33,1;16,22;17,3;2,04;0,92;garantia
115,43;152,33;154,52;27,58;23,29;27,71;0,47;0,9;nada
144,56;173,79;172,54;27,62;28,73;27,56;1,27;0,7;nada
145,41;180,77;168,78;28,84;29,4;29,41;0,84;0,85;nada
153,25;181,79;182,24;6,3;6,18;7,07;0,33;0,87;nada
110,33;173;182,86;44,05;22,84;19,31;0,69;0,93;energia
73,84;108,72;104,86;16,22;17,03;17,18;0,27;0,83;nada
76,67;107,35;102,27;18,09;19,91;19,68;0,61;0,84;nada
117,56;157,37;159,73;32,96;30,92;33,86;0,1;0,68;nada
98,58;141,28;132,92;25,17;20,79;21,32;2,19;0,89;nada
93,44;141,21;132,99;27,27;23,08;23,02;1,94;0,86;nada
101,78;142,51;137,48;31,33;25,97;27,81;6,76;0,76;nada
59,91;86,28;100,44;7,77;7,85;11,12;2;0,85;nada
47,87;82,34;71,43;8,74;7,72;9,63;0,5;0,82;nada
45,45;68,09;78,07;12,34;12,13;12,38;1,13;0,89;nada
52,25;79,16;89,32;10,38;9,08;12,3;0,37;0,87;nada
46,53;69,53;84,35;12,8;14,19;12,61;0,19;0,7;nada
57,78;79,48;92,27;7,96;7,89;7,99;0,73;0,92;nada
77,63;99,6;113,38;7,01;6,69;7,15;0,92;0,89;nada
82,56;105,16;117,4;5,62;5,58;5,65;1,5;0,9;nada
61,88;85,23;100,01;17,79;17,05;17,76;0,94;0,52;nada
79,56;108,83;114,65;27,18;27,89;29,26;0,27;0,75;nada
89,85;112,32;122,55;14,56;14,92;13,99;0,94;0,51;nada
71,06;95,51;114,96;22,07;22,67;22,08;0,99;0,67;nada
127,61;150,5;159,04;11,56;11,6;11,55;0,97;0,67;nada
184,23;216,26;226,27;20,91;22,95;24,51;0,09;0,7;nada
134,03;159,49;182,16;37,37;42,83;33,48;0,92;0,64;nada
80,3;101,32;134,66;14,61;15,83;17,35;0,59;0,66;nada
67,15;88,44;106,19;7,61;7,23;7,64;0,68;0,89;nada
61,7;82,24;103,16;6,66;6,35;6,69;0,7;0,84;nada
75,04;102,41;137,73;12,02;13,03;14,67;0,65;0,73;nada
95,84;116,36;156,58;11,97;17,77;13,32;1,01;0,43;nada
89,78;103,95;145,18;14,36;16,03;13,73;1,49;0,7;nada
96,38;112,68;154,04;5,56;6,22;6,85;1,73;0,77;nada
103,54;118,99;150,22;6,2;6,61;5,47;1,19;0,8;nada
105,73;125,61;201,42;30,37;36,05;33,03;0,32;0,61;nada
72,2;83,36;154,34;23,89;28,63;24,65;0,29;0,64;nada
89,01;101,14;141,35;6,29;6,34;6,49;0,46;0,55;nada
77,55;138,68;129,05;33,11;15,72;17,2;2,07;0,93;garantia
115,88;150,42;152,73;24,89;22,21;26,1;0,58;0,9;nada
145,74;178,51;169,85;29,67;30,06;30,11;1,58;0,65;nada
150,47;178,33;179,59;14,21;14,4;14,51;0,36;0,84;nada
110,67;172,61;182,11;44,45;23,08;19,77;0,69;0,93;energia
71,48;106,26;103,43;15,4;17,23;16,88;0,24;0,83;nada
127,49;165,33;167,61;28,24;24,54;28,75;0,13;0,76;nada
100,88;140,6;135,61;22,37;20,78;21,21;1,53;0,89;nada
104,53;146,01;139,55;27,37;22,56;23,42;7,81;0,82;nada
57,34;79,53;92,75;9,85;9,69;10,19;0,77;0,68;nada
82,05;104,5;113,99;5,56;5,5;5,76;1,13;0,89;nada
54,93;77,77;93,04;19,45;19,86;19,66;0,48;0,41;nada
83,11;105,94;114,83;11,86;11,7;12,08;1,14;0,7;nada
130,65;157,81;162,54;22,6;22,94;21,83;0,23;0,82;nada
63,7;88,87;111,04;21,16;21,74;21,96;0,73;0,64;nada
71,44;87,85;115,35;5,42;5,28;5,39;1,09;0,8;nada
188,48;220,78;229,38;16,49;18,82;20,33;0,09;0,68;nada
131,58;156,69;177,7;37,7;42,81;35,15;0,98;0,59;nada
80,96;100,1;138,38;13,38;12,84;13,2;0,67;0,58;nada
73,6;101,19;138,42;11,82;13,77;15,64;0,69;0,73;nada
101,81;122,85;162,57;8,78;11,38;12,3;0,83;0,4;nada
95,1;111,44;153,26;6,16;7,07;8,28;2,08;0,73;nada
73,01;84,54;153,46;24,77;29,78;24,39;0,28;0,61;nada
95,64;110,21;146,36;14,83;16,13;13,19;0,55;0,5;nada
105,95;125,41;202,66;29,36;35,63;32,06;0,31;0,64;nada
94,09;106,44;146,21;5,75;5,91;5,41;0,97;0,73;nada
76,77;138,75;127,9;32,48;16,2;17,63;1,96;0,89;garantia
141,82;175,11;166,89;30,43;30,84;31,38;1,73;0,73;nada
110,17;171,97;182,4;44,01;23,21;20,28;0,69;0,93;energia
149,04;177,78;179,33;9,06;9,46;9,56;0,27;0,82;nada
68,2;106,55;103,22;16,41;18,47;17,71;0,23;0,87;nada
123,75;160,2;164,27;29,61;28,21;30,9;0,1;0,75;nada
107,36;149,69;143,31;28,5;20,92;22,2;5,86;0,81;nada
58,38;85,13;106,7;11,03;7,95;7,35;1,88;0,82;nada
60,62;83,64;100,75;9,59;11,07;10,65;1,06;0,88;nada
58,4;86,55;84,33;8,25;10,37;10,42;1,05;0,91;nada
59,24;80,12;96,52;8,5;8,29;9,19;0,8;0,74;nada
41,18;65,75;79,63;13,3;12,52;12,92;0,43;0,76;nada
85,01;107,43;118,53;6,06;5,92;6,06;1,22;0,88;nada
60,58;83,96;100,58;18,36;19,23;18,23;0,67;0,54;nada
102,66;124,57;134,94;13,2;13;12,62;1;0,89;nada
101,94;123,94;133,5;8,94;9,19;8,4;1;0,88;nada
116,23;139,12;147,06;11,72;11,7;11,69;0,94;0,73;nada
129,82;157,57;165,92;21,87;21,26;21,03;0,16;0,82;nada
62,78;85,93;107,05;22,39;23,79;23,02;1;0,71;nada
188,46;221,97;228,46;20,82;22,42;23,32;0,1;0,71;nada
134,83;159,51;183,44;39,75;45,51;35,04;0,83;0,55;nada
84,65;101,02;141,82;11,46;12,99;12,83;0,59;0,64;nada
73,44;93,84;113,9;13,94;13,51;13,4;0,89;0,89;nada
75,85;102,06;139,05;12,03;13,29;14,61;0,64;0,78;nada
96,52;119,16;161,19;12,13;19,36;14,97;0,38;0,72;nada
99,21;122,19;157,55;5,55;6,56;8,22;1,13;0,68;nada
70,25;82,31;122,64;6,32;6,38;6,24;1,18;0,62;nada
104,75;119,22;151,39;6,44;6,54;6,25;0,62;0,76;nada
107,11;126,05;202,13;29,81;36;32,45;0,39;0,52;nada
72,29;83,85;152,69;23,59;28,14;24,45;0,4;0,47;nada
94,23;110,44;140,6;5,25;4,93;5,72;0,5;0,82;nada
91,28;108,16;137,46;5,6;5,39;5,43;0,26;0,82;nada
109,46;172,29;182,05;44,11;23,03;20;0,69;0,93;energia
86,13;113,47;110,48;39,17;42,48;42,4;0,62;0,93;garantia
58,41;85,24;106,5;10,45;8,01;7,32;1,88;0,82;nada
60,83;83,59;101,78;9,38;11,07;9,34;1;0,88;nada
58,36;86,52;84,51;8,34;10,35;10,33;1,05;0,91;nada
59,3;80,19;96,63;8,7;8,49;9,37;0,81;0,74;nada
39,64;64,63;78,35;12,48;11,92;12,31;0,53;0,84;nada
85,25;107,68;118,74;6,04;5,85;6,08;1,11;0,89;nada
60,8;84,2;100,87;18,5;19,34;18,28;0,68;0,52;nada
43,48;62,79;82,84;5,8;5,78;6,19;1;0,88;nada
101;123,06;133,23;13,78;13,39;13,35;0,91;0,9;nada
103,98;131,46;140,06;9,67;11,05;12,14;0,53;0,82;nada
117,19;140,16;148,09;12,12;11,92;11,93;1,13;0,76;nada
131,24;158,73;167,15;22,29;21,58;21,52;0,18;0,8;nada
63,02;86,27;107,46;22,4;23,77;22,98;1,02;0,71;nada
188,11;221,58;228,06;22,06;23,74;24,68;0,1;0,72;nada
134,77;159,45;183,37;39,77;45,52;35,08;0,83;0,56;nada
85,27;101,82;142,53;11,42;12,91;12,64;0,65;0,66;nada
73,77;93,84;114,01;13,78;13,65;13,34;0,89;0,88;nada
75,8;102,04;139,09;12,04;13,3;14,63;0,64;0,77;nada
96,65;119,09;161,44;12,11;19,45;14,73;0,37;0,74;nada
99,29;122,3;157,69;5,37;6,3;8;1,16;0,68;nada
70,3;82,45;122,74;6,41;6,49;6,33;1,18;0,64;nada
101,77;116,64;149,35;7,32;7,58;6,46;1,42;0,76;nada
104,61;119,13;151,09;6,05;6,19;6,1;1,09;0,77;nada
108,96;128,65;204,74;29,45;35,07;31,07;0,39;0,5;nada
72,54;84,19;153,14;23,67;28,19;24,43;0,4;0,46;nada
76,48;138,6;127,77;33,16;15,59;16,51;1,99;0,9;garantia
141,16;175,87;169,35;28,28;29,62;29,5;2,25;0,68;nada
108,49;146,8;148,19;30,47;28,83;29,97;0,24;0,86;nada
154,54;181,05;182,88;4,42;3,97;4,18;0,46;0,86;nada
109,49;172,23;182;44,06;23,07;20,1;0,69;0,93;energia
68,05;104;101,7;17,31;19,19;18,74;0,2;0,86;nada
123,8;160,97;163,02;29,04;28,86;31,02;0,11;0,76;nada
98,01;141,85;134,69;26,53;22,48;23,59;3,94;0,88;nada
103,15;143,49;138,06;28,28;23,54;24,74;4,42;0,42;nada
93,88;110,41;140,57;5,35;4,98;5,74;0,5;0,82;nada
91,22;108,21;137,31;5,55;5,4;5,37;0,26;0,79;nada
58,41;85,24;106,5;10,45;8,01;7,32;1,88;0,82;nada
60,83;83,59;101,78;9,38;11,07;9,34;1;0,88;nada
58,36;86,52;84,51;8,34;10,35;10,33;1,05;0,91;nada
59,3;80,19;96,63;8,7;8,49;9,37;0,81;0,74;nada
39,64;64,63;78,35;12,48;11,92;12,31;0,53;0,84;nada
85,25;107,68;118,74;6,04;5,85;6,08;1,11;0,89;nada
60,8;84,2;100,87;18,5;19,34;18,28;0,68;0,52;nada
43,48;62,79;82,84;5,8;5,78;6,19;1;0,88;nada
101;123,06;133,23;13,78;13,39;13,35;0,91;0,9;nada
103,98;131,46;140,06;9,67;11,05;12,14;0,53;0,82;nada
117,19;140,16;148,09;12,12;11,92;11,93;1,13;0,76;nada
131,24;158,73;167,15;22,29;21,58;21,52;0,18;0,8;nada
63,02;86,27;107,46;22,4;23,77;22,98;1,02;0,71;nada
188,11;221,58;228,06;22,06;23,74;24,68;0,1;0,72;nada
134,77;159,45;183,37;39,77;45,52;35,08;0,83;0,56;nada
85,27;101,82;142,53;11,42;12,91;12,64;0,65;0,66;nada
73,77;93,84;114,01;13,78;13,65;13,34;0,89;0,88;nada
75,8;102,04;139,09;12,04;13,3;14,63;0,64;0,77;nada
106,32;127,39;211,29;31,99;38,56;31,51;0,46;0,77;nada
70,3;82,45;122,74;6,41;6,49;6,33;1,18;0,64;nada
101,77;116,64;149,35;7,32;7,58;6,46;1,42;0,76;nada
104,61;119,13;151,09;6,05;6,19;6,1;1,09;0,77;nada
72,58;84,25;153,21;23,69;28,22;24,43;0,4;0,46;nada
76,45;138,62;127,8;33,17;15,57;16,49;2,02;0,91;garantia
140,88;175,29;169,11;28,5;29,97;29,52;2,19;0,67;nada
110,76;148,64;149,99;29,53;26,99;28,1;0,2;0,86;nada
154,89;181,98;183,21;4,43;3,83;4,13;0,53;0,91;nada
109,5;172,24;182;44,06;23,07;20,11;0,69;0,93;energia
68,33;104,52;102,11;17,55;19,33;18,98;0,21;0,89;nada
66,23;101,99;99,13;12,08;14,64;14,43;1;0,87;nada
124,05;161,1;163,12;28,66;28,54;30,7;0,11;0,76;nada
100,97;142,32;136,48;27,71;23,32;24,43;7,48;0,43;nada
93,88;110,41;140,57;5,35;4,98;5,74;0,5;0,82;nada
91,22;108,21;137,31;5,55;5,4;5,37;0,26;0,79;nada
58,41;85,24;106,5;10,45;8,01;7,32;1,88;0,82;nada
60,83;83,59;101,78;9,38;11,07;9,34;1;0,88;nada
58,36;86,52;84,51;8,34;10,35;10,33;1,05;0,91;nada
59,3;80,19;96,63;8,7;8,49;9,37;0,81;0,74;nada
39,64;64,63;78,35;12,48;11,92;12,31;0,53;0,84;nada
85,25;107,68;118,74;6,04;5,85;6,08;1,11;0,89;nada
60,8;84,2;100,87;18,5;19,34;18,28;0,68;0,52;nada
43,48;62,79;82,84;5,8;5,78;6,19;1;0,88;nada
101;123,06;133,23;13,78;13,39;13,35;0,91;0,9;nada
103,98;131,46;140,06;9,67;11,05;12,14;0,53;0,82;nada
117,19;140,16;148,09;12,12;11,92;11,93;1,13;0,76;nada
131,24;158,73;167,15;22,29;21,58;21,52;0,18;0,8;nada
63,02;86,27;107,46;22,4;23,77;22,98;1,02;0,71;nada
188,11;221,58;228,06;22,06;23,74;24,68;0,1;0,72;nada
134,77;159,45;183,37;39,77;45,52;35,08;0,83;0,56;nada
85,27;101,82;142,53;11,42;12,91;12,64;0,65;0,66;nada
73,77;93,84;114,01;13,78;13,65;13,34;0,89;0,88;nada
75,8;102,04;139,09;12,04;13,3;14,63;0,64;0,77;nada
96,65;119,09;161,44;12,11;19,45;14,73;0,37;0,74;nada
99,29;122,3;157,69;5,37;6,3;8;1,16;0,68;nada
70,3;82,45;122,74;6,41;6,49;6,33;1,18;0,64;nada
101,77;116,64;149,35;7,32;7,58;6,46;1,42;0,76;nada
104,61;119,13;151,09;6,05;6,19;6,1;1,09;0,77;nada
107,13;126,07;202,11;29,8;35,99;32,38;0,39;0,53;nada
72,27;83,83;152,7;23,56;28,1;24,46;0,4;0,47;nada
93,88;110,41;140,57;5,35;4,98;5,74;0,5;0,82;nada
91,22;108,21;137,31;5,55;5,4;5,37;0,26;0,79;nada
76,51;138,71;127,84;33,22;15,56;16,49;2,03;0,91;garantia
140,14;177,12;167,49;28,74;30,03;30,32;1,37;0,74;nada
109,13;147,87;149,43;30,63;28,81;30,29;0,31;0,87;nada
118,9;156,23;156,99;28,86;28,08;28,35;0,53;0,8;nada
108,23;146,51;146,44;39,8;49,23;49,21;0,88;0,88;nada
109,47;172,22;182;44,06;23,09;20,13;0,69;0,93;energia
66,11;101,26;98,97;22,04;26,82;26,56;0,25;0,84;nada
119;158,31;159,83;28,15;29,04;31,99;0,14;0,86;nada
97,28;142,15;133,36;27,72;23,6;24,53;3,12;0,9;nada
102,3;143,27;137,68;29,42;25,33;26,54;4,62;0,84;nada
104,24;143,99;138,75;27,69;23,35;24,27;3,55;0,85;nada
